Record,Date,LOC Time,Articulo,Estado Camara,Comunicacion ChronosE,ResultadoE,Comunicacion ChronosC,ResultadoC,Pieza controlada
7, 8/20/2024,12:33:37,2829086,1,1,1,1,0,1
9, 8/20/2024,12:35:56,2829086,1,1,0,1,1,1
11, 8/20/2024,12:39:07,2829086,1,1,1,1,1,1
13, 8/20/2024,12:41:24,2829086,1,1,1,1,1,1
15, 8/20/2024,12:44:13,2829086,1,1,1,1,1,1
17, 8/20/2024,12:46:37,2829086,1,1,1,1,1,1
19, 8/20/2024,12:48:42,2829086,1,1,1,1,1,1
21, 8/20/2024,12:51:42,2829086,1,1,1,1,1,1
23, 8/20/2024,12:54:02,2829086,1,1,1,1,1,1
25, 8/20/2024,12:56:07,2829086,1,1,1,1,1,1
27, 8/20/2024,12:58:07,2829086,1,1,0,1,1,1
29, 8/20/2024,12:59:54,2829086,1,1,1,1,1,1
31, 8/20/2024,13:02:07,2829086,1,1,1,1,1,1
33, 8/20/2024,13:28:16,2829086,1,1,0,1,1,1
35, 8/20/2024,13:29:42,2829086,1,1,1,1,0,1
37, 8/20/2024,13:32:05,2829086,1,1,1,1,1,1
39, 8/20/2024,13:37:28,2829086,1,1,1,1,1,1
41, 8/20/2024,13:39:45,2829086,1,1,1,1,1,1
43, 8/20/2024,13:42:00,2829086,1,1,1,1,1,1
45, 8/20/2024,13:48:53,2829086,1,1,1,1,1,1
47, 8/20/2024,13:51:06,2829086,1,1,1,1,1,1
49, 8/20/2024,13:52:55,2829086,1,1,1,1,1,1
51, 8/20/2024,13:57:55,2829086,1,1,1,1,1,1
53, 8/20/2024,14:00:03,2829086,1,1,1,1,1,1
55, 8/20/2024,14:02:10,2829086,1,1,1,1,1,1
57, 8/20/2024,14:27:53,2829086,1,1,1,1,1,1
59, 8/20/2024,14:30:23,2829086,1,1,1,1,1,1
61, 8/20/2024,14:32:19,2829086,1,1,1,1,1,1
63, 8/20/2024,14:35:50,2829086,1,1,1,1,0,1
65, 8/20/2024,15:53:39,2829086,1,1,0,1,1,1
67, 8/20/2024,15:58:49,2829086,1,1,1,1,1,1
69, 8/20/2024,16:08:51,2829086,1,1,0,1,0,1
71, 8/20/2024,16:12:25,2829086,1,1,0,1,0,1
73, 8/20/2024,16:15:29,2829086,1,1,1,1,1,1
75, 8/20/2024,16:29:21,2829086,1,1,1,1,1,1
77, 8/20/2024,16:32:12,2829086,1,1,1,1,1,1
79, 8/20/2024,16:35:51,2829086,1,1,1,1,1,1
81, 8/20/2024,16:40:33,2829086,1,1,1,1,1,1
83, 8/20/2024,16:43:59,2829086,1,1,0,1,0,1
85, 8/20/2024,16:57:48,2829086,1,1,1,1,1,1
87, 8/20/2024,17:01:45,2829086,1,1,1,1,1,1
89, 8/20/2024,17:04:59,2829086,1,1,1,1,1,1
91, 8/20/2024,17:08:32,2829086,1,1,0,1,1,1
93, 8/20/2024,17:14:52,2829086,1,1,0,1,1,1
95, 8/20/2024,17:20:13,2829086,1,1,1,1,1,1
97, 8/20/2024,17:24:02,2829086,1,1,1,1,1,1
99, 8/20/2024,17:39:07,2829086,1,1,0,1,1,1
101, 8/20/2024,17:42:45,2829086,1,1,1,1,1,1
103, 8/20/2024,17:45:42,2829086,1,1,1,1,1,1
105, 8/20/2024,17:48:31,2829086,1,1,1,1,1,1
107, 8/20/2024,17:53:42,2829086,1,1,1,1,1,1
109, 8/20/2024,17:56:46,2829086,1,1,0,1,1,1
111, 8/20/2024,18:26:45,2829086,1,1,1,1,1,1
113, 8/20/2024,18:30:00,2829086,1,1,1,1,1,1
115, 8/20/2024,18:33:38,2829086,1,1,1,1,1,1
117, 8/20/2024,18:37:07,2829086,1,1,1,1,1,1
119, 8/20/2024,18:40:48,2829086,1,1,0,1,1,1
121, 8/20/2024,18:45:02,2829086,1,1,0,1,1,1
123, 8/20/2024,18:47:55,2829086,1,1,1,1,0,1
125, 8/20/2024,18:51:13,2829086,1,1,1,1,1,1
127, 8/20/2024,18:54:40,2829086,1,1,0,1,0,1
