Record,Date,LOC Time,Articulo, Estado Camara, Resultado Estampado, Resulado Control, Pieza en Chronos
1,09/03/2024,01:34:27,2445731,1,1,0,1
1,09/03/2024,01:38:04,2445731,1,1,0,1
1,09/03/2024,01:41:07,2445731,1,1,1,1
1,09/03/2024,01:43:59,2445731,1,1,1,1
1,09/03/2024,01:46:46,2445731,1,1,1,1
1,09/03/2024,02:15:31,2445731,1,1,0,1
1,09/03/2024,02:19:05,2445731,1,0,0,1
1,09/03/2024,02:27:35,2445731,1,0,1,1
1,09/03/2024,02:42:47,2445731,1,0,0,1
1,09/03/2024,02:45:46,2445731,1,0,0,1
1,09/03/2024,02:49:16,2445731,1,0,0,1
1,09/03/2024,02:53:04,2445731,1,1,0,1
1,09/03/2024,02:57:03,2445731,1,0,1,1
