Record,Date,LOC Time,Articulo,Estado Camara,Estado Estampado,Comunicacion Chronos,Resultado,Estado Controles
       375, 8/21/2024,13:06:20,          0,1,0,1,1,1
       376, 8/21/2024,13:06:32,          0,1,1,0,1,1
       377, 8/21/2024,13:08:04,          0,1,0,1,1,1
       378, 8/21/2024,13:08:19,          0,1,1,0,1,1
       379, 8/21/2024,13:10:36,          0,1,1,0,0,1
       380, 8/21/2024,13:10:50,          0,1,1,0,0,1
       381, 8/21/2024,13:14:04,          0,1,0,0,0,1
       382, 8/21/2024,13:14:19,          0,1,1,0,0,1
       383, 8/21/2024,13:16:09,          0,1,0,0,0,1
       384, 8/21/2024,13:16:17,          0,1,1,0,0,1
       385, 8/21/2024,13:18:37,          0,1,0,1,1,1
       386, 8/21/2024,13:18:53,          0,1,1,0,1,1
       387, 8/21/2024,13:21:23,          0,1,0,1,1,1
       388, 8/21/2024,13:21:35,          0,1,0,0,1,1
       389, 8/21/2024,13:23:33,          0,1,0,1,1,1
       390, 8/21/2024,13:23:51,          0,1,1,0,1,1
       391, 8/21/2024,13:25:54,          0,1,0,1,1,1
       392, 8/21/2024,13:26:16,          0,1,1,0,1,1
       393, 8/21/2024,13:31:23,          0,1,0,0,0,1
       394, 8/21/2024,13:31:42,          0,1,1,0,0,1
       395, 8/21/2024,13:33:53,          0,1,0,1,1,1
       396, 8/21/2024,13:34:42,          0,1,1,0,1,1
       397, 8/21/2024,13:40:50,          0,1,0,1,1,1
       398, 8/21/2024,13:43:45,          0,1,1,0,1,1
       399, 8/21/2024,13:45:36,          0,1,0,0,0,1
       400, 8/21/2024,13:45:52,          0,1,1,0,0,1
       401, 8/21/2024,13:47:39,          0,1,0,1,1,1
       402, 8/21/2024,13:47:49,          0,1,1,0,1,1
       403, 8/21/2024,13:49:51,          0,1,0,1,1,1
       404, 8/21/2024,13:50:08,          0,1,1,0,1,1
       405, 8/21/2024,13:52:01,          0,1,0,0,0,1
       406, 8/21/2024,13:52:17,          0,1,1,0,0,1
       407, 8/21/2024,13:55:01,          0,1,0,0,0,1
       408, 8/21/2024,13:55:17,          0,1,1,0,0,1
       409, 8/21/2024,13:56:58,          0,1,0,0,0,1
       410, 8/21/2024,13:57:08,          0,1,1,0,0,1
       411, 8/21/2024,14:23:19,          0,1,0,1,1,1
       412, 8/21/2024,14:23:35,          0,1,0,0,1,1
       413, 8/21/2024,15:16:43,          0,1,0,1,1,1
       414, 8/21/2024,15:16:57,          0,1,1,0,1,1
       415, 8/21/2024,15:21:26,          0,1,0,0,0,1
       416, 8/21/2024,15:21:36,          0,1,1,0,0,1
       417, 8/21/2024,15:28:52,          0,1,0,0,0,1
       418, 8/21/2024,15:29:32,          0,1,1,0,0,1
       419, 8/21/2024,15:32:08,          0,1,0,0,0,1
       420, 8/21/2024,15:32:43,          0,1,1,0,0,1
       421, 8/21/2024,15:37:26,          0,1,0,1,1,1
       422, 8/21/2024,15:37:38,          0,1,0,0,1,1
       423, 8/21/2024,15:40:53,          0,1,0,1,1,1
       424, 8/21/2024,15:41:05,          0,1,0,0,1,1
       425, 8/21/2024,15:44:44,          0,1,0,0,0,1
       426, 8/21/2024,15:45:06,          0,1,1,0,0,1
       427, 8/21/2024,15:48:09,          0,1,0,1,1,1
       428, 8/21/2024,15:48:29,          0,1,0,0,1,1
       429, 8/21/2024,16:35:15,          0,1,0,0,0,1
       430, 8/21/2024,16:35:26,          0,1,0,0,0,1
       431, 8/21/2024,16:39:06,          0,1,0,1,1,1
       432, 8/21/2024,16:39:18,          0,1,1,0,1,1
       433, 8/21/2024,16:40:43,          0,1,0,1,1,1
       434, 8/21/2024,16:40:50,          0,1,0,0,1,1
       435, 8/21/2024,16:42:49,          0,1,0,0,0,1
       436, 8/21/2024,16:43:01,          0,1,0,0,0,1
       437, 8/21/2024,16:45:03,          0,1,0,1,1,1
       438, 8/21/2024,16:45:30,          0,1,0,0,1,1
       439, 8/21/2024,16:49:47,          0,1,0,1,1,1
       440, 8/21/2024,16:49:59,          0,1,1,0,1,1
       441, 8/21/2024,16:57:43,          0,1,0,0,0,1
       442, 8/21/2024,16:57:50,          0,1,1,0,0,1
       443, 8/21/2024,17:00:22,          0,1,0,1,1,1
       444, 8/21/2024,17:00:37,          0,1,1,0,1,1
       445, 8/21/2024,17:03:14,          0,1,0,1,1,1
       446, 8/21/2024,17:03:27,          0,1,1,0,1,1
       447, 8/21/2024,17:08:33,          0,1,0,1,1,1
       448, 8/21/2024,17:08:40,          0,1,1,0,1,1
       449, 8/21/2024,17:11:11,          0,1,0,1,1,1
       450, 8/21/2024,17:12:08,          0,1,0,0,1,1
       451, 8/21/2024,17:14:59,          0,1,0,0,0,1
       452, 8/21/2024,17:15:12,          0,1,1,0,0,1
       453, 8/21/2024,17:17:22,          0,1,0,0,0,1
       454, 8/21/2024,17:17:30,          0,1,1,0,0,1
       455, 8/21/2024,17:19:59,          0,1,0,1,1,1
       456, 8/21/2024,17:20:12,          0,1,1,0,1,1
       457, 8/21/2024,17:24:19,          0,1,0,1,1,1
       458, 8/21/2024,17:24:33,          0,1,1,0,1,1
       459, 8/21/2024,17:47:43,          0,1,0,1,1,1
