Record;Date;LOC Time;Articulo;Estado Camara;Estado Estampado;Comunicacion ChronosE;ResultadoE;Estado Controles;Comunicacion ChronosC;ResultadoC;Posicion Pieza; Piezas Controladas; Piezas En Chronos
1;08/23/2024;12:34:57;2103546;1;1;0;1;0;1;1;1;1;1
2;08/23/2024;12:40:46;2103546;1;0;0;0;0;0;0;0;0;1
3;08/23/2024;13:13:54;2103546;1;0;0;0;0;0;0;0;0;1
4;08/23/2024;13:19:18;2103546;1;0;0;0;0;0;0;0;0;1
5;08/23/2024;13:22:22;2103546;1;0;0;0;0;0;0;0;0;1
6;08/23/2024;13:23:28;2103546;1;0;0;0;0;0;0;0;0;1
7;08/23/2024;13:24:34;2103546;1;0;0;0;0;0;0;0;0;1
8;08/23/2024;13:26:35;2103546;1;0;0;0;0;0;0;0;0;1
9;08/23/2024;13:40:22;2103546;1;0;0;0;0;0;0;0;0;1
10;08/23/2024;13:44:58;2103546;1;0;0;0;0;1;0;0;0;1
11;08/23/2024;13:48:05;2103546;1;0;0;0;0;0;0;0;0;1
12;08/23/2024;13:56:21;2103546;1;0;0;0;0;0;0;0;0;1
13;08/23/2024;13:57:13;2103546;1;0;0;0;0;0;0;0;0;1
14;08/23/2024;14:11:28;2103546;1;0;0;0;0;0;0;0;0;1
15;08/23/2024;14:12:23;2103546;1;0;0;0;0;0;0;0;0;1
16;08/23/2024;14:20:40;2103546;1;0;0;0;0;0;0;0;0;1
17;08/23/2024;14:22:47;2103546;1;0;0;0;0;0;0;0;0;1
18;08/23/2024;14:24:17;2103546;1;0;0;0;0;0;0;0;0;1
19;08/23/2024;14:31:15;2103546;1;0;0;0;0;0;0;0;0;1
20;08/23/2024;14:33:32;2103546;1;0;0;0;0;0;0;0;0;1
21;08/23/2024;14:40:44;2103546;1;0;0;0;0;0;0;0;0;1
22;08/23/2024;17:03:36;2103546;1;0;0;0;0;0;0;0;0;1
23;08/23/2024;17:07:14;2103546;1;0;0;0;0;1;0;0;0;1
24;08/23/2024;17:16:52;2103546;1;0;0;0;0;0;0;0;0;1
25;08/23/2024;17:19:40;2103546;1;0;0;0;0;0;0;0;0;1
26;08/23/2024;17:23:51;2103546;1;0;0;0;0;0;0;0;0;1
27;08/23/2024;17:28:51;2103546;1;0;0;0;0;0;0;0;0;1
28;08/23/2024;17:32:25;2103546;1;0;0;0;0;0;0;0;0;1
29;08/23/2024;17:40:27;2103546;1;0;0;0;0;0;0;0;0;1
30;08/23/2024;17:43:07;2103546;1;0;0;0;0;0;0;0;0;1
31;08/23/2024;17:45:36;2103546;1;0;0;0;0;0;0;0;0;1
32;08/23/2024;18:07:09;2103546;1;0;0;0;0;0;0;0;0;1
33;08/23/2024;18:15:01;2103546;1;0;0;0;0;0;0;0;0;1
34;08/23/2024;18:16:32;2103546;1;0;0;0;0;0;0;0;0;1
35;08/23/2024;18:25:50;2103546;1;0;0;0;0;0;0;0;0;1
36;08/23/2024;18:27:57;2103546;1;0;0;0;0;0;0;0;0;1
37;08/23/2024;18:38:43;2103546;1;0;0;0;0;0;0;0;0;1
38;08/23/2024;18:40:52;2103546;1;0;0;0;0;0;0;0;0;1
39;08/23/2024;18:42:21;2103546;1;0;0;0;0;0;0;0;0;1
40;08/23/2024;18:45:21;2103546;1;0;0;0;0;0;0;0;0;1
41;08/23/2024;18:51:19;2103546;1;0;0;0;0;0;0;0;0;1
42;08/23/2024;19:02:34;2103546;1;0;0;0;0;0;0;0;0;1
43;08/23/2024;19:04:18;2103546;1;0;0;0;0;0;0;0;0;1
44;08/23/2024;19:43:34;2103546;1;0;0;0;0;0;0;0;0;1
45;08/23/2024;19:45:19;2103546;1;0;0;0;0;0;0;0;0;1
46;08/23/2024;19:47:20;2103546;1;0;0;0;0;0;0;0;0;1
47;08/23/2024;19:50:04;2103546;1;0;0;0;0;0;0;0;0;1
48;08/23/2024;19:54:01;2103546;1;0;0;0;0;0;0;0;0;1
49;08/23/2024;20:59:49;2103546;1;0;0;0;0;0;0;0;0;1
50;08/23/2024;21:07:25;2103546;1;0;0;0;0;0;0;0;0;1
51;08/23/2024;21:09:25;2103546;1;0;0;0;0;0;0;0;0;1
52;08/23/2024;21:24:59;2103546;1;0;0;0;0;0;0;0;0;1
53;08/23/2024;21:27:28;2103546;1;0;0;0;0;0;0;0;0;1
54;08/23/2024;21:30:29;2103546;1;0;0;0;0;0;0;0;0;1
55;08/23/2024;21:35:18;2103546;1;0;0;0;0;0;0;0;0;1
56;08/23/2024;21:37:13;2103546;1;0;0;0;0;0;0;0;0;1
57;08/23/2024;21:59:52;2103546;1;0;0;0;0;0;0;0;0;1
58;08/23/2024;22:02:30;2103546;1;0;0;0;0;0;0;0;0;1
59;08/23/2024;22:11:41;2103546;1;0;0;0;0;0;0;0;0;1
60;08/23/2024;22:15:27;2103546;1;0;0;0;0;0;0;0;0;1
61;08/23/2024;22:18:09;2103546;1;0;0;0;0;0;0;0;0;1
62;08/23/2024;22:23:16;2103546;1;0;0;0;0;0;0;0;0;1
63;08/23/2024;22:24:42;2103546;1;0;0;0;0;0;0;0;0;1
64;08/23/2024;22:26:35;2103546;1;0;0;0;0;0;0;0;0;1
65;08/23/2024;22:30:35;2103546;1;0;0;0;0;0;0;0;0;1
66;08/23/2024;23:35:41;2103546;1;0;0;0;0;0;0;0;0;1
67;08/23/2024;23:37:33;2103546;1;0;0;0;0;0;0;0;0;1
68;08/23/2024;23:39:10;2103546;1;0;0;0;0;0;0;0;0;1
69;08/23/2024;23:47:40;2103546;1;0;0;0;0;0;0;0;0;1
70;08/23/2024;23:49:20;2103546;1;0;0;0;0;1;0;0;0;1
71;08/24/2024;0:12:04;2103546;1;0;0;0;0;0;0;0;0;1
72;08/24/2024;0:13:16;2103546;1;0;0;0;0;0;0;0;0;1
73;08/24/2024;0:14:35;2103546;1;0;0;0;0;0;0;0;0;1
74;08/24/2024;0:18:01;2103546;1;0;0;0;0;0;0;0;0;1
75;08/24/2024;0:25:20;2103546;1;0;0;0;0;0;0;0;0;1
76;08/24/2024;0:28:14;2103546;1;0;0;0;0;0;0;0;0;1
77;08/24/2024;0:34:35;2103546;1;0;0;0;0;0;0;0;0;1
